Vendor ID	Vendor Name	vendorEnabled	us_price	vcat	host_is	reacts_with	itemid	Item Name	itemEnabled	featuredItemEnabled	catalogNumber	qty	Another Worthless Spec	size	Worthless Spec	productUrl	biocompareUrl	cat_ids	cat_names
1234	Exiqon	1	1	Mark III	Homo Sapiens	Murine	240302	Mouse ProbeLibrary refill	0	NULL		1 x 500 assays	69D65563-CFC6-44B8-AC66-54FCDECC7818	NULL	9F779E80-D44D-4AAC-A4E8-5864B1C28385	http://www.probelibrary.com/?from=biocom18	http://www.biocompare.com/ProductDetails/240302/Mouse-ProbeLibrary-refill.html		
1234	Exiqon	1	1.25	Mark III	Bos Taurus	Homo Sapiens	240303	Mouse ProbeLibrary refill (3)	0	NULL		3 x 500 assays	22E174FF-C512-44F6-BADC-C130AECDAF8F	NULL	16F13F2A-1ACA-4573-ADF9-AFAFDE2221D2	http://www.probelibrary.com/?from=biocom18	http://www.biocompare.com/ProductDetails/240303/Mouse-ProbeLibrary-refill-3-.html		
1234	Exiqon	1	1.5	Mark III	Bos Taurus	Murine	240304	Rat ProbeLibrary kit	0	NULL		90 x 250 assays	04F72B86-F5D1-45CC-BAFC-1E209C374BEB	NULL	B31CEA26-ACB1-40AD-B3A6-007C3715572A	http://www.probelibrary.com/?from=biocom19	http://www.biocompare.com/ProductDetails/240304/Rat-ProbeLibrary-kit.html		
1234	Exiqon	1	1.75	Mark III	Homo Sapiens	Homo Sapiens	240305	Rat ProbeLibrary refill	0	NULL		1 x 500 assays	EEFB43C4-4EA9-426B-B6AD-D13B4EA1051C	NULL	CB426337-CB3A-48AB-A9F7-06095EBFC64A	http://www.probelibrary.com/?from=biocom19	http://www.biocompare.com/ProductDetails/240305/Rat-ProbeLibrary-refill.html		
1234	Exiqon	1	2	Mark III	Bos Taurus	Murine	240306	Rat ProbeLibrary refill (3)	0	NULL		3 x 500 assays	CE4F922C-F99D-491C-9A69-FD7254C188DB	NULL	E4B77AB0-15B0-4B39-9463-9609621D7247	http://www.probelibrary.com/?from=biocom19	http://www.biocompare.com/ProductDetails/240306/Rat-ProbeLibrary-refill-3-.html		
1234	Exiqon	1	2.25	Mark III	Bos Taurus	Homo Sapiens	240307	Human ProbeLibrary kit	0	NULL		90 x 250 assays	83075B83-3A7A-41F5-9915-B994CF4E62B9	NULL	091B8615-E56B-456B-ACD7-41D4F5266A38	http://www.probelibrary.com/?from=biocom17	http://www.biocompare.com/ProductDetails/240307/Human-ProbeLibrary-kit.html		
1234	Exiqon	1	2.5	Mark III	Homo Sapiens	Murine	240308	Human ProbeLibrary refill	0	NULL		1 x 500 assays	5B1D4780-6D14-42F4-8D09-F33D60AF32ED	NULL	A98F9376-78C5-43CE-A440-72A82EFCB67D	http://www.probelibrary.com/?from=biocom17	http://www.biocompare.com/ProductDetails/240308/Human-ProbeLibrary-refill.html		
1234	Exiqon	1	2.75	Mark III	Bos Taurus	Homo Sapiens	240309	Human ProbeLibrary refill (3)	0	NULL		3 x 500 assays	1630ED9B-3FA8-469C-BA04-0B2D1FC98AB9	NULL	0FCD4F76-C959-48BC-BD8B-B65A81413077	http://www.probelibrary.com/?from=biocom17	http://www.biocompare.com/ProductDetails/240309/Human-ProbeLibrary-refill-3-.html		
1234	Exiqon	1	3	Mark III	Bos Taurus	Murine	240310	Mouse ProbeLibrary kit	0	NULL		90 x 250 assays	6FB4055E-C821-45B9-872F-D45A8C3BA083	NULL	B6A4EBB9-6603-4E28-A9A1-590F93864CBF	http://www.probelibrary.com/?from=biocom18	http://www.biocompare.com/ProductDetails/240310/Mouse-ProbeLibrary-kit.html		
1234	Exiqon	1	3.25	Mark III	Homo Sapiens	Homo Sapiens	248670	Arabidopsis ProbeLibrary kit	0	NULL		90 x 250 assays	9E8AAF21-6C9D-4703-BFA3-226269157238	NULL	70F5D285-2472-4AFA-AB18-9BC79DD878A3	http://www.probelibrary.com/?from=biocom15	http://www.biocompare.com/ProductDetails/248670/Arabidopsis-ProbeLibrary-kit.html		
1234	Exiqon	1	3.5	Mark III	Bos Taurus	Murine	248671	Arabidopsis ProbeLibrary refill	0	NULL		1 x 500 assays	B290BE8E-9205-48FE-A840-92E81B93587D	NULL	F1A924B9-71C3-4D38-9ABE-DF631797CDD3	http://www.probelibrary.com/?from=biocom15	http://www.biocompare.com/ProductDetails/248671/Arabidopsis-ProbeLibrary-refill.html		
1234	Exiqon	1	3.75	Mark III	Bos Taurus	Homo Sapiens	248672	Arabidopsis ProbeLibrary refill (3)	0	NULL		3 x 500 assays	495915B5-1190-467C-B781-3062AEC8FCB9	NULL	A97C1000-6412-465C-AE89-816DD2F29FF9	http://www.probelibrary.com/?from=biocom15	http://www.biocompare.com/ProductDetails/248672/Arabidopsis-ProbeLibrary-refill-3-.html		
1234	Exiqon	1	4	Mark III	Homo Sapiens	Murine	248676	Drosophila ProbeLibrary kit	0	NULL		90 x 250 assays	DB4AE6B0-8F7B-4697-8C6F-202658324F22	NULL	CEBA42F5-A7D2-43E2-B4F6-F7BF09639E8B	http://www.probelibrary.com/?from=biocom16	http://www.biocompare.com/ProductDetails/248676/Drosophila-ProbeLibrary-kit.html		
1234	Exiqon	1	4.25	Mark III	Bos Taurus	Homo Sapiens	248677	Drosophila ProbeLibrary refill	0	NULL		1 x 500 assays	C375B388-8ADA-450C-ADD2-7467C1EB1D5E	NULL	F723FD0C-49B8-4121-B457-05EAE7EA0DA8	http://www.probelibrary.com/?from=biocom16	http://www.biocompare.com/ProductDetails/248677/Drosophila-ProbeLibrary-refill.html		
1234	Exiqon	1	4.5	Mark III	Bos Taurus	Murine	248678	Drosophila ProbeLibrary refill (3)	0	NULL		3 x 500 assays	C4F7ED5E-963C-40CB-8FC1-D8BDEE65AEC4	NULL	E775A85A-BDE3-4C0B-8EB1-DB2DA600F58A	http://www.probelibrary.com/?from=biocom16	http://www.biocompare.com/ProductDetails/248678/Drosophila-ProbeLibrary-refill-3-.html		
